 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";62;92;114;188;172;150;103;121;135;183;198;176;127;35;1856
"12 Acre";99;123;84;67;73;57;74;59;67;57;72;72;56;15;975
"13 Amazonas";277;297;451;381;239;283;224;251;205;221;226;217;144;38;3454
"14 Roraima";36;28;50;49;29;33;24;42;50;78;58;127;151;45;800
"15 Pará";427;459;377;387;272;322;404;437;415;436;396;464;379;122;5297
"16 Amapá";70;54;45;60;96;49;34;32;37;17;29;32;2;8;565
"17 Tocantins";120;104;108;80;75;72;84;59;76;49;64;63;63;12;1029
"21 Maranhão";274;146;136;199;117;157;157;217;221;273;286;314;274;101;2872
"22 Piauí";199;160;175;109;66;67;33;101;149;111;167;125;91;33;1586
"23 Ceará";553;698;710;623;616;646;605;582;593;582;617;714;549;107;8195
"24 Rio Grande do Norte";336;366;398;415;432;384;361;368;362;301;403;363;355;119;4963
"25 Paraíba";437;356;396;404;388;378;428;339;347;323;320;460;293;130;4999
"26 Pernambuco";1662;1365;1470;1666;1996;1615;1093;1171;1182;1349;1326;1173;832;242;18142
"27 Alagoas";176;219;248;273;379;296;170;204;238;230;250;300;254;75;3312
"28 Sergipe";38;28;44;49;31;37;70;59;88;92;101;84;87;22;830
"29 Bahia";942;985;1143;1240;1234;1100;1313;1206;1348;1327;1139;990;1027;331;15325
"31 Minas Gerais";1312;1225;1103;1128;1082;1051;998;921;1012;1111;1248;1321;1272;339;15123
"32 Espírito Santo";126;165;141;210;241;219;142;187;239;155;165;173;201;100;2464
"33 Rio de Janeiro";2245;2192;2127;1994;1719;1549;1061;1388;1231;1231;1485;1454;1413;498;21587
"35 São Paulo";2676;1459;1382;2497;2551;2531;2595;3105;3297;3410;3527;3561;3247;996;36834
"41 Paraná";2038;965;917;469;344;354;371;469;398;393;387;372;499;183;8159
"42 Santa Catarina";330;411;271;326;352;395;479;579;591;579;667;682;539;167;6368
"43 Rio Grande do Sul";1548;1002;1059;1003;1078;978;875;1083;1035;1157;1085;1342;1237;348;14830
"50 Mato Grosso do Sul";321;236;278;242;227;282;253;245;237;194;172;242;317;135;3381
"51 Mato Grosso";113;64;78;109;142;182;174;120;142;131;135;133;124;31;1678
"52 Goiás";942;260;293;275;248;287;199;275;317;223;320;294;293;94;4320
"53 Distrito Federal";181;163;171;175;195;214;130;230;226;182;194;245;202;65;2573
"Total";17540;13622;13769;14618;14394;13688;12454;13850;14238;14395;15037;15493;14028;4391;191517
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
