uf,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +
Rondônia,70,142,107,202,788,5757,3728,588,407,518,204
Acre,37,83,65,151,571,3837,1813,304,240,302,140
Amazonas,331,838,744,1232,4561,24539,14482,2422,1901,2527,1233
Roraima,18,59,50,83,240,1476,990,159,116,140,57
Pará,434,579,571,1292,5917,36896,21907,3486,2674,3290,1189
Amapá,43,43,37,97,418,2298,1423,204,162,189,75
Tocantins,21,46,41,91,225,1699,1361,250,199,337,150
Maranhão,321,363,484,933,3640,20595,14026,2543,2235,3131,1332
Piauí,113,110,133,294,1153,7520,7141,1327,1207,1726,672
Ceará,368,648,724,1368,5607,35083,25748,3900,3083,3895,1572
Rio Grande do Norte,124,256,177,301,1282,10206,7786,1202,869,1168,496
Paraíba,146,241,269,382,1446,11668,8198,1179,868,1110,411
Pernambuco,724,895,957,1393,5367,47088,33120,4521,3347,3913,1685
Alagoas,142,169,172,425,1924,11410,8139,1113,825,840,282
Sergipe,26,41,53,133,825,6776,4143,584,436,536,222
Bahia,785,827,893,1585,7425,52342,41866,6131,4735,6190,2813
Minas Gerais,280,613,636,887,3737,34564,32733,4705,3460,4761,1979
Espírito Santo,161,272,174,316,1718,12883,8836,1087,788,898,342
Rio de Janeiro,1192,2241,1917,3574,17365,128290,91596,12022,8098,8738,3140
São Paulo,490,3077,2472,4150,19727,182162,118587,14350,9620,10887,3954
Paraná,266,406,378,538,2655,24743,18537,2604,1817,2190,752
Santa Catarina,160,240,173,395,2018,18418,13634,1589,972,1100,372
Rio Grande do Sul,592,570,598,1198,5659,53294,38855,5198,3691,4444,1632
Mato Grosso do Sul,147,272,221,297,949,9033,6325,983,731,893,371
Mato Grosso,255,479,324,456,1252,10916,8506,1392,1051,1421,586
Goiás,98,132,77,158,728,8857,6981,1028,856,1096,392
Distrito Federal,80,162,98,109,366,4211,3330,487,417,565,228
