uf,Masculino,Feminino
Rondônia,8500,4017
Acre,4839,2705
Amazonas,33394,21431
Roraima,2231,1157
Pará,49219,29008
Amapá,3102,1891
Tocantins,2931,1489
Maranhão,30682,18933
Piauí,13695,7701
Ceará,52040,30027
Rio Grande do Norte,16252,7618
Paraíba,17420,8504
Pernambuco,69903,33113
Alagoas,15996,9446
Sergipe,9521,4254
Bahia,80598,44967
Minas Gerais,60413,28008
Espírito Santo,18871,8661
Rio de Janeiro,187414,90774
São Paulo,260775,109760
Paraná,37099,17769
Santa Catarina,26466,12598
Rio Grande do Sul,78659,37092
Mato Grosso do Sul,14552,5658
Mato Grosso,17814,8830
Goiás,14300,6104
Distrito Federal,6520,3534
